Date : 2023-02-10 10:00:49
Directory : c:\xampp\htdocs\webproject
Total : 76 files,  12791 codes, 2430 comments, 2143 blanks, all 17364 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
+--------------+------------+------------+------------+------------+------------+
| PHP          |         60 |     10,335 |      2,276 |      1,736 |     14,347 |
| CSS          |          9 |      1,904 |         12 |        302 |      2,218 |
| JavaScript   |          2 |        311 |         18 |         31 |        360 |
| SQL          |          1 |        151 |        123 |         61 |        335 |
| Less         |          1 |         86 |          0 |         13 |         99 |
| Batch        |          1 |          2 |          0 |          0 |          2 |
| XML          |          1 |          1 |          0 |          0 |          1 |
| Shell Script |          1 |          1 |          1 |          0 |          2 |
+--------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                  | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                     |         76 |     12,791 |      2,430 |      2,143 |     17,364 |
| . (Files)                                                             |         12 |      1,399 |         50 |        103 |      1,552 |
| admin                                                                 |         14 |      1,121 |         17 |         68 |      1,206 |
| admin (Files)                                                         |          2 |        637 |         10 |          9 |        656 |
| admin\operations                                                      |         10 |        154 |          3 |         10 |        167 |
| admin\operations\add                                                  |          4 |        118 |          3 |         10 |        131 |
| admin\operations\delete                                               |          3 |         24 |          0 |          0 |         24 |
| admin\operations\modify                                               |          3 |         12 |          0 |          0 |         12 |
| admin\script                                                          |          1 |         55 |          2 |          4 |         61 |
| admin\style                                                           |          1 |        275 |          2 |         45 |        322 |
| assets                                                                |          1 |          1 |          0 |          0 |          1 |
| components                                                            |          2 |         99 |          2 |          5 |        106 |
| config                                                                |         37 |      8,070 |      2,212 |      1,610 |     11,892 |
| config (Files)                                                        |          3 |      1,709 |        171 |        103 |      1,983 |
| config\font                                                           |         14 |        248 |          0 |         14 |        262 |
| config\phpqrcode                                                      |         20 |      6,113 |      2,041 |      1,493 |      9,647 |
| config\phpqrcode (Files)                                              |         14 |      4,381 |      1,002 |      1,261 |      6,644 |
| config\phpqrcode\bindings                                             |          1 |      1,688 |        976 |        212 |      2,876 |
| config\phpqrcode\bindings\tcpdf                                       |          1 |      1,688 |        976 |        212 |      2,876 |
| config\phpqrcode\tools                                                |          5 |         44 |         63 |         20 |        127 |
| database                                                              |          1 |        151 |        123 |         61 |        335 |
| script                                                                |          1 |        256 |         16 |         27 |        299 |
| style                                                                 |          8 |      1,694 |         10 |        269 |      1,973 |
+-----------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| filename                                                              | language     | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| c:\xampp\htdocs\webproject\addtocart.php                              | PHP          |         74 |          3 |          9 |         86 |
| c:\xampp\htdocs\webproject\admin\dashboard.php                        | PHP          |        555 |          7 |          2 |        564 |
| c:\xampp\htdocs\webproject\admin\index.php                            | PHP          |         82 |          3 |          7 |         92 |
| c:\xampp\htdocs\webproject\admin\operations\add\addairp.php           | PHP          |         13 |          0 |          2 |         15 |
| c:\xampp\htdocs\webproject\admin\operations\add\addcountry.php        | PHP          |         13 |          0 |          2 |         15 |
| c:\xampp\htdocs\webproject\admin\operations\add\addflight.php         | PHP          |         23 |          2 |          2 |         27 |
| c:\xampp\htdocs\webproject\admin\operations\add\addstopover.php       | PHP          |         69 |          1 |          4 |         74 |
| c:\xampp\htdocs\webproject\admin\operations\delete\deletea.php        | PHP          |          8 |          0 |          0 |          8 |
| c:\xampp\htdocs\webproject\admin\operations\delete\deletec.php        | PHP          |          8 |          0 |          0 |          8 |
| c:\xampp\htdocs\webproject\admin\operations\delete\deletef.php        | PHP          |          8 |          0 |          0 |          8 |
| c:\xampp\htdocs\webproject\admin\operations\modify\edita.php          | PHP          |          4 |          0 |          0 |          4 |
| c:\xampp\htdocs\webproject\admin\operations\modify\editc.php          | PHP          |          4 |          0 |          0 |          4 |
| c:\xampp\htdocs\webproject\admin\operations\modify\editf.php          | PHP          |          4 |          0 |          0 |          4 |
| c:\xampp\htdocs\webproject\admin\script\script.js                     | JavaScript   |         55 |          2 |          4 |         61 |
| c:\xampp\htdocs\webproject\admin\style\style.css                      | CSS          |        275 |          2 |         45 |        322 |
| c:\xampp\htdocs\webproject\allflight.php                              | PHP          |        158 |          2 |          5 |        165 |
| c:\xampp\htdocs\webproject\assets\google.svg                          | XML          |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\webproject\components\footer.php                      | PHP          |          2 |          0 |          1 |          3 |
| c:\xampp\htdocs\webproject\components\header.php                      | PHP          |         97 |          2 |          4 |        103 |
| c:\xampp\htdocs\webproject\config\config.php                          | PHP          |         16 |          4 |          5 |         25 |
| c:\xampp\htdocs\webproject\config\font\courier.php                    | PHP          |         10 |          0 |          1 |         11 |
| c:\xampp\htdocs\webproject\config\font\courierb.php                   | PHP          |         10 |          0 |          1 |         11 |
| c:\xampp\htdocs\webproject\config\font\courierbi.php                  | PHP          |         10 |          0 |          1 |         11 |
| c:\xampp\htdocs\webproject\config\font\courieri.php                   | PHP          |         10 |          0 |          1 |         11 |
| c:\xampp\htdocs\webproject\config\font\helvetica.php                  | PHP          |         21 |          0 |          1 |         22 |
| c:\xampp\htdocs\webproject\config\font\helveticab.php                 | PHP          |         21 |          0 |          1 |         22 |
| c:\xampp\htdocs\webproject\config\font\helveticabi.php                | PHP          |         21 |          0 |          1 |         22 |
| c:\xampp\htdocs\webproject\config\font\helveticai.php                 | PHP          |         21 |          0 |          1 |         22 |
| c:\xampp\htdocs\webproject\config\font\symbol.php                     | PHP          |         20 |          0 |          1 |         21 |
| c:\xampp\htdocs\webproject\config\font\times.php                      | PHP          |         21 |          0 |          1 |         22 |
| c:\xampp\htdocs\webproject\config\font\timesb.php                     | PHP          |         21 |          0 |          1 |         22 |
| c:\xampp\htdocs\webproject\config\font\timesbi.php                    | PHP          |         21 |          0 |          1 |         22 |
| c:\xampp\htdocs\webproject\config\font\timesi.php                     | PHP          |         21 |          0 |          1 |         22 |
| c:\xampp\htdocs\webproject\config\font\zapfdingbats.php               | PHP          |         20 |          0 |          1 |         21 |
| c:\xampp\htdocs\webproject\config\fpdf.css                            | CSS          |         21 |          0 |          1 |         22 |
| c:\xampp\htdocs\webproject\config\fpdf.php                            | PHP          |      1,672 |        167 |         97 |      1,936 |
| c:\xampp\htdocs\webproject\config\phpqrcode\bindings\tcpdf\qrcode.php | PHP          |      1,688 |        976 |        212 |      2,876 |
| c:\xampp\htdocs\webproject\config\phpqrcode\index.php                 | PHP          |         38 |         33 |         23 |         94 |
| c:\xampp\htdocs\webproject\config\phpqrcode\phpqrcode.php             | PHP          |      2,160 |        495 |        658 |      3,313 |
| c:\xampp\htdocs\webproject\config\phpqrcode\qrbitstream.php           | PHP          |        113 |         33 |         35 |        181 |
| c:\xampp\htdocs\webproject\config\phpqrcode\qrconfig.php              | PHP          |          8 |          5 |          4 |         17 |
| c:\xampp\htdocs\webproject\config\phpqrcode\qrconst.php               | PHP          |         18 |         28 |          8 |         54 |
| c:\xampp\htdocs\webproject\config\phpqrcode\qrencode.php              | PHP          |        357 |         50 |         96 |        503 |
| c:\xampp\htdocs\webproject\config\phpqrcode\qrimage.php               | PHP          |         54 |         25 |         16 |         95 |
| c:\xampp\htdocs\webproject\config\phpqrcode\qrinput.php               | PHP          |        515 |         63 |        151 |        729 |
| c:\xampp\htdocs\webproject\config\phpqrcode\qrlib.php                 | PHP          |         13 |         26 |          5 |         44 |
| c:\xampp\htdocs\webproject\config\phpqrcode\qrmask.php                | PHP          |        234 |         37 |         58 |        329 |
| c:\xampp\htdocs\webproject\config\phpqrcode\qrrscode.php              | PHP          |        126 |         49 |         35 |        210 |
| c:\xampp\htdocs\webproject\config\phpqrcode\qrspec.php                | PHP          |        417 |         85 |         90 |        592 |
| c:\xampp\htdocs\webproject\config\phpqrcode\qrsplit.php               | PHP          |        219 |         42 |         50 |        311 |
| c:\xampp\htdocs\webproject\config\phpqrcode\qrtools.php               | PHP          |        109 |         31 |         32 |        172 |
| c:\xampp\htdocs\webproject\config\phpqrcode\tools\merge.bat           | Batch        |          2 |          0 |          0 |          2 |
| c:\xampp\htdocs\webproject\config\phpqrcode\tools\merge.php           | PHP          |         32 |         25 |         13 |         70 |
| c:\xampp\htdocs\webproject\config\phpqrcode\tools\merge.sh            | Shell Script |          1 |          1 |          0 |          2 |
| c:\xampp\htdocs\webproject\config\phpqrcode\tools\merged_config.php   | PHP          |          8 |          5 |          4 |         17 |
| c:\xampp\htdocs\webproject\config\phpqrcode\tools\merged_header.php   | PHP          |          1 |         32 |          3 |         36 |
| c:\xampp\htdocs\webproject\database\webproject.sql                    | SQL          |        151 |        123 |         61 |        335 |
| c:\xampp\htdocs\webproject\deletec.php                                | PHP          |         13 |          0 |          0 |         13 |
| c:\xampp\htdocs\webproject\fdetails.php                               | PHP          |        228 |          1 |          2 |        231 |
| c:\xampp\htdocs\webproject\flights.php                                | PHP          |        148 |          2 |          7 |        157 |
| c:\xampp\htdocs\webproject\index.php                                  | PHP          |        161 |          1 |         14 |        176 |
| c:\xampp\htdocs\webproject\login.php                                  | PHP          |         83 |          3 |          5 |         91 |
| c:\xampp\htdocs\webproject\modifyinfo.php                             | PHP          |         22 |          0 |          6 |         28 |
